antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'49006'}),frozenset({'33807'}),0.999932294046954,0.18217979315831345,0.18217979315831345,0.18219212865002118,1.0000677105374525,1.233465652150656e-05,1.000015083605991,1.0000000000007376
frozenset({'43807'}),frozenset({'49006'}),0.1821967196465749,0.999932294046954,0.1821967196465749,1.0,1.0000677105374525,1.2335802545504482e-05,inf,8.279002380208182e-05
frozenset({'49006'}),frozenset({'43807'}),0.999932294046954,0.1821967196465749,0.1821967196465749,0.18220905628438425,1.0000677105374525,1.2335802545504482e-05,1.00001508531967,0.9999999999989911
frozenset({'49006'}),frozenset({'43808'}),0.999932294046954,0.1821967196465749,0.1821967196465749,0.18220905628438425,1.0000677105374525,1.2335802545504482e-05,1.00001508531967,0.9999999999989911
frozenset({'43808'}),frozenset({'49006'}),0.1821967196465749,0.999932294046954,0.1821967196465749,1.0,1.0000677105374525,1.2335802545504482e-05,inf,8.279002380208182e-05
frozenset({'49006'}),frozenset({'32604'}),0.999932294046954,0.2749877282960104,0.27497080180774897,0.2749894202285231,1.000006152756427,1.6918179587821491e-06,1.0000023336659627,0.09087411511489565
frozenset({'32604'}),frozenset({'49006'}),0.2749877282960104,0.999932294046954,0.27497080180774897,0.999938446386803,1.0000061527564272,1.6918179587821491e-06,1.0999509131854517,8.48636472952466e-06
frozenset({'42607'}),frozenset({'49006'}),0.2749877282960104,0.999932294046954,0.27497080180774897,0.999938446386803,1.0000061527564272,1.6918179587821491e-06,1.0999509131854517,8.48636472952466e-06
frozenset({'49006'}),frozenset({'42607'}),0.999932294046954,0.2749877282960104,0.27497080180774897,0.2749894202285231,1.000006152756427,1.6918179587821491e-06,1.0000023336659627,0.09087411511489565
frozenset({'42608'}),frozenset({'49006'}),0.2749877282960104,0.999932294046954,0.27497080180774897,0.999938446386803,1.0000061527564272,1.6918179587821491e-06,1.0999509131854517,8.48636472952466e-06
frozenset({'49006'}),frozenset({'42608'}),0.999932294046954,0.2749877282960104,0.27497080180774897,0.2749894202285231,1.000006152756427,1.6918179587821491e-06,1.0000023336659627,0.09087411511489565
frozenset({'49006'}),frozenset({'32307'}),0.999932294046954,0.2530002200443474,0.2529832935560859,0.2530004231908591,1.0000008029499405,2.03132757448099e-07,1.000000271949969,0.011859360363860167
